panther_family,description,Sequences,Specificity
PTHR24286:SF331,,34,C28 (100)
PTHR24286:SF349,,20,C28/C16/C22/C3 (45/27/14/14)
PTHR24298:SF678,,9,C24 (100)
PTHR24282:SF253,,6,C30/C2/C21/C23/C29 (33/17/17/17/17)
PTHR24286:SF53,,6,C6/C12 (83/17)
PTHR24286:SF339,,5,C22/C7/C16 (40/40/20)
PTHR24281:SF138,,4,C29 (100)
PTHR24286:SF199,,4,C19/C11/C5/C7 (40/20/20/20)
PTHR24286:SF296,,4,C2 (100)
PTHR24286:SF40,,4,C1/C12/C13/C16/C2/C25/C28/C7 (12/12/12/12/12/12/12/12)
PTHR24286:SF368,,3,C22 (100)
PTHR24286:SF369,,3,C11/C20 (60/40)
PTHR24281:SF113,,2,C12/C23/C24/C25 (25/25/25/25)
PTHR24286:SF10,,2, ()
PTHR24286:SF258,,2,C19 (100)
PTHR24286:SF361,,2,C6 (100)
PTHR24298:SF630,,2,C15/C16 (50/50)
PTHR24298:SF901,,2,C23/C25 (50/50)
PTHR24282:SF160,,1,C22 (100)
PTHR24282:SF196,,1,C23 (100)
PTHR24282:SF20,,1,C24 (100)
PTHR24282:SF251,,1,C23 (100)
PTHR24282:SF63,,1,C26 (100)
PTHR24286:SF305,,1,C16 (100)
PTHR24286:SF327,,1,C22 (100)
PTHR24286:SF362,,1, ()
PTHR24286:SF366,,1,C16/C28 (50/50)
PTHR24286:SF374,,1,C3 (100)
PTHR24286:SF88,,1,C2 (100)
PTHR24298:SF475,,1,C15/C16 (50/50)
PTHR24298:SF54,,1, ()
PTHR47956:SF142,,1,C28 (100)
PTHR47956:SF22,,1,C23 (100)
PTHR47956:SF72,,1,C21 (100)
