query	target	qlen	tlen	bits	evalue
DQ680852~NA-C_12/C_13/C_16	DQ680852~NA-C_12/C_13/C_16	490	490	1004	0.000E+00
DQ680852~NA-C_12/C_13/C_16	ON108679~NA-C_1	490	489	609	7.753E-197
DQ680852~NA-C_12/C_13/C_16	ON108677~NA-C_7/C_28	490	491	570	2.357E-183
DQ680852~NA-C_12/C_13/C_16	ON108670~NA-C_25/C_2	490	491	569	5.223E-183
DQ680852~NA-C_12/C_13/C_16	ON108678~NA-C_19	490	497	559	1.492E-179
DQ680852~NA-C_12/C_13/C_16	ON108669~NA-C_19	490	493	540	5.475E-173
DQ680852~NA-C_12/C_13/C_16	AY552551~NA-14α_demethylation	490	487	468	3.910E-148
DQ680852~NA-C_12/C_13/C_16	LC456844~NA-C_19/C_5/C_19	490	494	95	2.345E-22
DQ680852~NA-C_12/C_13/C_16	AEY75217~NA-C_12	490	505	93	9.881E-22
DQ680852~NA-C_12/C_13/C_16	KM655856~NA-C_25	490	508	93	9.881E-22
DQ680852~NA-C_12/C_13/C_16	AXU93523.1~NA-C_3	490	473	90	8.513E-21
DQ680852~NA-C_12/C_13/C_16	MN621243~NA-C_29	490	511	88	3.569E-20
DQ680852~NA-C_12/C_13/C_16	NM_124173~NA-C_15/C_16	490	511	84	6.239E-19
DQ680852~NA-C_12/C_13/C_16	AB433179~NA-C_11	490	493	82	2.602E-18
DQ680852~NA-C_12/C_13/C_16	LC456845~NA-C_7	490	494	82	2.602E-18
DQ680852~NA-C_12/C_13/C_16	DQ335780~NA-C_2	490	520	82	2.602E-18
DQ680852~NA-C_12/C_13/C_16	NA~Kt_2465-unknown	490	461	81	5.310E-18
DQ680852~NA-C_12/C_13/C_16	JN604536~NA-C_12	490	486	80	1.083E-17
DQ680852~NA-C_12/C_13/C_16	AB558145~NA-C_22	490	528	80	1.083E-17
DQ680852~NA-C_12/C_13/C_16	NA~Kt_444-unknown	490	428	79	2.209E-17
DQ680852~NA-C_12/C_13/C_16	JX036031~NA-C_6	490	469	79	2.209E-17
DQ680852~NA-C_12/C_13/C_16	AFO63031~NA-C_6	490	469	79	2.209E-17
DQ680852~NA-C_12/C_13/C_16	AFO63031.1~NA-C_6	490	469	79	2.209E-17
DQ680852~NA-C_12/C_13/C_16	AOG74831.1~NA-C_28	490	482	79	2.209E-17
DQ680852~NA-C_12/C_13/C_16	AB233425~NA-C_22	490	499	79	2.209E-17
DQ680852~NA-C_12/C_13/C_16	KT150517~NA-C_23	490	520	79	2.209E-17
DQ680852~NA-C_12/C_13/C_16	MF120282~NA-C_2	490	476	78	4.504E-17
DQ680852~NA-C_12/C_13/C_16	LC456843~NA-C_23	490	510	78	4.504E-17
DQ680852~NA-C_12/C_13/C_16	MF596155~NA-C_24	490	519	78	4.504E-17
DQ680852~NA-C_12/C_13/C_16	AB558153~NA-C_30	490	523	78	4.504E-17
DQ680852~NA-C_12/C_13/C_16	AOG74838.1~NA-C_28/C_16	490	481	77	9.179E-17
DQ680852~NA-C_12/C_13/C_16	MK803264~NA-C_21	490	501	77	9.179E-17
DQ680852~NA-C_12/C_13/C_16	ALR73782.1~NA-C_28	490	475	76	1.870E-16
DQ680852~NA-C_12/C_13/C_16	MW514556~NA-C_16	490	479	76	1.870E-16
DQ680852~NA-C_12/C_13/C_16	AZS32332.1~NA-C_28	490	480	76	1.870E-16
DQ680852~NA-C_12/C_13/C_16	MG708187~NA-C_28	490	480	76	1.870E-16
DQ680852~NA-C_12/C_13/C_16	LC143440~NA-C_21	490	511	76	1.870E-16
DQ680852~NA-C_12/C_13/C_16	MN621244~NA-C_29	490	513	76	1.870E-16
DQ680852~NA-C_12/C_13/C_16	MN621245~NA-C_29	490	514	76	1.870E-16
DQ680852~NA-C_12/C_13/C_16	Q9LVY7.1~NA-C_28	490	477	75	3.808E-16
DQ680852~NA-C_12/C_13/C_16	NM_123002~NA-C_28	490	477	75	3.808E-16
DQ680852~NA-C_12/C_13/C_16	QIH97367.1~NA-C_28	490	477	75	3.808E-16
DQ680852~NA-C_12/C_13/C_16	MK829814~NA-C_29	490	511	75	3.808E-16
DQ680852~NA-C_12/C_13/C_16	AB437320~NA-C_24	490	514	75	3.808E-16
DQ680852~NA-C_12/C_13/C_16	AB558147~NA-C_29	490	524	74	7.753E-16
DQ680852~NA-C_12/C_13/C_16	KU878851~NA-C_6	490	477	73	1.578E-15
DQ680852~NA-C_12/C_13/C_16	AOG74834.1~NA-C_6	490	477	73	1.578E-15
DQ680852~NA-C_12/C_13/C_16	BAW34647.1~NA-C_28/C_22	490	481	73	1.578E-15
DQ680852~NA-C_12/C_13/C_16	KF309251~NA-C_3	490	474	72	3.211E-15
DQ680852~NA-C_12/C_13/C_16	AHF22083.1~Positive_Control-C_3	490	474	72	3.211E-15
DQ680852~NA-C_12/C_13/C_16	AB558146~NA-C_30	490	524	72	3.211E-15
DQ680852~NA-C_12/C_13/C_16	AFZ40057.1~NA-C_28	490	478	71	6.531E-15
DQ680852~NA-C_12/C_13/C_16	JQ958967~NA-C_28	490	478	71	6.531E-15
DQ680852~NA-C_12/C_13/C_16	KF460438~NA-C_28	490	496	71	6.531E-15
DQ680852~NA-C_12/C_13/C_16	MK803271~NA-C_23/C_24/C_25	490	512	71	6.531E-15
DQ680852~NA-C_12/C_13/C_16	DQ335782~NA-C_23	490	520	71	6.531E-15
DQ680852~NA-C_12/C_13/C_16	ALR73781.1~NA-Unkown	490	475	70	1.328E-14
DQ680852~NA-C_12/C_13/C_16	AHL46848.1~NA-C_28	490	481	70	1.328E-14
DQ680852~NA-C_12/C_13/C_16	NM_001341032.1~NA-C_15/C_16	490	485	70	1.328E-14
DQ680852~NA-C_12/C_13/C_16	NM_117621~NA-C_15/C_16	490	513	70	1.328E-14
DQ680852~NA-C_12/C_13/C_16	AB223041~NA-C_26	490	515	70	1.328E-14
DQ680852~NA-C_12/C_13/C_16	KF906540~NA-C_24	490	512	69	2.700E-14
DQ680852~NA-C_12/C_13/C_16	AF135485~NA-C_24	490	513	68	5.488E-14
DQ680852~NA-C_12/C_13/C_16	KU878852~NA-C_2	490	475	67	1.115E-13
DQ680852~NA-C_12/C_13/C_16	BAP59952.1~NA-C_28	490	481	67	1.115E-13
DQ680852~NA-C_12/C_13/C_16	KF906536~NA-C_24	490	510	67	1.115E-13
DQ680852~NA-C_12/C_13/C_16	KF906537~NA-C_24	490	510	67	1.115E-13
DQ680852~NA-C_12/C_13/C_16	MW514550~NA-C_22	490	478	66	2.265E-13
DQ680852~NA-C_12/C_13/C_16	MW514551~NA-C_22	490	478	66	2.265E-13
DQ680852~NA-C_12/C_13/C_16	KT150521~NA-C_28	490	481	66	2.265E-13
DQ680852~NA-C_12/C_13/C_16	ALO23117.1~NA-C_28	490	481	66	2.265E-13
DQ680852~NA-C_12/C_13/C_16	AOG74849.1~NA-cycloartane	490	485	66	2.265E-13
DQ680852~NA-C_12/C_13/C_16	KU878866~NA-unknown_regioselectivity	490	485	66	2.265E-13
DQ680852~NA-C_12/C_13/C_16	AZS32333.1~NA-C_28	490	497	66	2.265E-13
DQ680852~NA-C_12/C_13/C_16	MG708188~NA-C_28	490	497	66	2.265E-13
DQ680852~NA-C_12/C_13/C_16	KF906539~NA-C_24	490	524	66	2.265E-13
DQ680852~NA-C_12/C_13/C_16	AB219423~NA-C_22	490	495	65	4.601E-13
DQ680852~NA-C_12/C_13/C_16	KF906535~NA-C_24	490	510	65	4.601E-13
DQ680852~NA-C_12/C_13/C_16	KF906538~NA-C_24	490	525	65	4.601E-13
DQ680852~NA-C_12/C_13/C_16	AFZ40058.1~NA-C_28	490	477	64	9.342E-13
DQ680852~NA-C_12/C_13/C_16	JQ958968~NA-C_28	490	477	64	9.342E-13
DQ680852~NA-C_12/C_13/C_16	AB223043~NA-C_22	490	501	63	1.897E-12
DQ680852~NA-C_12/C_13/C_16	A0A3Q7HBJ5.1~NA-C_28	490	476	61	7.811E-12
DQ680852~NA-C_12/C_13/C_16	DQ335790~NA-C_24	490	514	61	7.811E-12
DQ680852~NA-C_12/C_13/C_16	KM655862~NA-C_11/C_20	490	474	59	3.214E-11
DQ680852~NA-C_12/C_13/C_16	Csa1G044890~NA-C_11/C_20	490	474	59	3.214E-11
DQ680852~NA-C_12/C_13/C_16	OP821088~NA-C_28	490	479	59	3.214E-11
DQ680852~NA-C_12/C_13/C_16	HQ128570~NA-C_11	490	473	58	6.519E-11
DQ680852~NA-C_12/C_13/C_16	NM_001344756.1~NA-C_7	490	477	57	1.322E-10
DQ680852~NA-C_12/C_13/C_16	NP_001268076.1~NA-C_28	490	480	57	1.322E-10
DQ680852~NA-C_12/C_13/C_16	AB619803~NA-C_28	490	480	57	1.322E-10
