query	target	cigar	qstart	qend	qlen	tstart	tend	tlen	alnlen
NM_180821_NA_C_7	NM_180821_NA_C_7	518M	1	518	518	1	518	518	518
NM_180821_NA_C_7	NM_001344756_1_NA_C_7	477M	42	518	518	1	477	477	477
NM_180821_NA_C_7	MW514556_NA_C_16	478M	41	518	518	1	478	479	478
NM_180821_NA_C_7	MW514550_NA_C_22	477M	42	518	518	1	477	478	477
NM_180821_NA_C_7	MW514551_NA_C_22	477M	42	518	518	1	477	478	477
NM_180821_NA_C_7	KF318735_NA_C_16	116M2D76M1I54M1D15M1I69M1I141M	45	518	518	1	474	475	477
NM_180821_NA_C_7	HQ128570_NA_C_11	1M2I2M1I111M1D77M1I53M1D17M1I69M1I141M	42	518	518	1	473	473	479
NM_180821_NA_C_7	KM655862_NA_C_11_C_20	1M2D3I2M1D1I2M1I114M1D67M1I4M1I8M2D44M1D16M1I66M1I141M	45	518	518	3	474	474	481
NM_180821_NA_C_7	Csa1G044890_NA_C_11_C_20	1M2D3I1M2D2I2M1I114M1D67M1I4M1I8M2D44M1D16M1I66M1I141M	45	518	518	3	474	474	482
NM_180821_NA_C_7	JX036031_NA_C_6	1M2I2M1I20M1I46M1D48M2I1M1I22M1I15M1D53M1D1I1M1D2I33M1D67M1I14M1I73M2I43M1D23M	42	518	518	1	468	469	483
NM_180821_NA_C_7	AFO63031_1_NA_C_6	69M1D48M3I23M1I15M1D55M1I32M1D69M1I14M1I73M2I43M1D23M	46	518	518	1	468	469	477
NM_180821_NA_C_7	AFO63031_NA_C_6	69M1D48M3I23M1I15M1D55M1I32M1D69M1I14M1I73M2I43M1D23M	46	518	518	1	468	469	477
NM_180821_NA_C_7	AEX07773_NA_C_28	1M2D3I1M1I27M1D40M1D48M1I25M1I15M1D41M1I43M1D2M2D2M2D68M1I14M1I73M2I43M1D23M	42	518	518	2	478	480	488
NM_180821_NA_C_7	AEX07772_1_NA_C_28	2M2I2M1I26M1D1M1D40M1D38M1I35M1I15M1D55M1I29M1D2M2D2M2D68M1I14M1I73M2I43M1D23M	41	518	518	1	478	480	488
NM_180821_NA_C_7	X87367_NA_C_3	2M1I157M2I42M1I7M1D1I1M1D1I30M3D1M1D12M1I3M3I53M1I12M1I75M1D66M	46	518	518	2	469	472	480
NM_180821_NA_C_7	JN565975_NA_C_28	1M2D3I65M1D38M1I35M1I15M1D55M1I29M1D2M2D2M2D68M1I14M1I73M2I43M1D23M	46	518	518	6	478	480	483
NM_180821_NA_C_7	BAP59952_1_NA_C_28	1M2D2I2M2D2I2M1D1I2M1I58M1D44M1I31M1I15M1D55M1I29M1D2M2D2M2D68M1I14M1I73M2I43M1D23M	42	518	518	4	480	481	490
NM_180821_NA_C_7	NP_001268076_1_NA_C_28	1M2D2I2M2D2I2M1D1I2M1I60M1D38M1I35M1I15M1D55M1I29M1D2M2D2M2D68M1I14M1I73M2I43M1D23M	42	518	518	3	479	480	490
NM_180821_NA_C_7	NP_001268115_1_NA_C_28	1M3D3I1M2D2I2M1D1I2M1I60M1D38M1I35M1I15M1D55M1I29M1D2M2D2M2D68M1I14M1I73M2I43M1D23M	42	518	518	3	479	480	491
NM_180821_NA_C_7	JQ958968_NA_C_28	1M2I2M1I20M1D2I2M2I4M1I41M1D38M1I35M1I15M1D55M1I29M1D2M2D2M2D68M1I14M1I73M2I42M1D24M	37	518	518	1	476	477	491
