query	target	cigar	qstart	qend	qlen	tstart	tend	tlen	alnlen
A0A3Q7HBJ5_1_NA_C_28	A0A3Q7HBJ5_1_NA_C_28	476M	1	476	476	1	476	476	476
A0A3Q7HBJ5_1_NA_C_28	OP821088_NA_C_28	18M1D11M4D445M	1	474	476	1	479	479	479
A0A3Q7HBJ5_1_NA_C_28	JQ958968_NA_C_28	18M3D456M	1	474	476	1	477	477	477
A0A3Q7HBJ5_1_NA_C_28	AFZ40058_1_NA_C_28	18M3D456M	1	474	476	1	477	477	477
A0A3Q7HBJ5_1_NA_C_28	AOG74831_1_NA_C_28	4M3D24M5D446M	1	474	476	1	482	482	482
A0A3Q7HBJ5_1_NA_C_28	AZS32333_1_NA_C_28	17M3D5M3D448M	5	474	476	22	497	497	476
A0A3Q7HBJ5_1_NA_C_28	APZ88353_1_NA_C_28	18M3D10M4D446M	1	474	476	1	481	481	481
A0A3Q7HBJ5_1_NA_C_28	JN565975_NA_C_28	18M3D9M1D2M1D446M	1	475	476	1	480	480	480
A0A3Q7HBJ5_1_NA_C_28	KT150521_NA_C_28	16M2D13M5D445M	1	474	476	1	481	481	481
A0A3Q7HBJ5_1_NA_C_28	AB619802_NA_C_28	18M3D7M3D446M2I3M	1	476	476	1	480	480	482
A0A3Q7HBJ5_1_NA_C_28	MG708188_NA_C_28	17M3D4M3D449M	5	474	476	22	497	497	476
A0A3Q7HBJ5_1_NA_C_28	NP_001268115_1_NA_C_28	18M3D7M3D446M2I3M	1	476	476	1	480	480	482
A0A3Q7HBJ5_1_NA_C_28	ALO23117_1_NA_C_28	18M3D7M4D449M	1	474	476	1	481	481	481
A0A3Q7HBJ5_1_NA_C_28	AB619803_NA_C_28	18M3D5M3D448M2I3M	1	476	476	1	480	480	482
A0A3Q7HBJ5_1_NA_C_28	AEX07772_1_NA_C_28	18M3D9M1D2M1D446M	1	475	476	1	480	480	480
A0A3Q7HBJ5_1_NA_C_28	AOG74832_1_NA_C_28	8M3D15M4D451M	1	474	476	1	481	481	481
A0A3Q7HBJ5_1_NA_C_28	NP_001268076_1_NA_C_28	18M3D7M3D449M	1	474	476	1	480	480	480
A0A3Q7HBJ5_1_NA_C_28	AFZ40057_1_NA_C_28	11M3D18M1D445M	1	474	476	1	478	478	478
A0A3Q7HBJ5_1_NA_C_28	OQ107260_NA_C_28	21M3D4M3D449M	1	474	476	1	480	480	480
A0A3Q7HBJ5_1_NA_C_28	KF318733_NA_C_28	12M1D10M3D6M9D446M	1	474	476	1	487	487	487
A0A3Q7HBJ5_1_NA_C_28	CBN88268_1_NA_C_28	14M3D102M1D354M	5	474	476	6	479	479	474
A0A3Q7HBJ5_1_NA_C_28	K4CEE8_1_NA_C_28	18M2D10M5D129M1I318M	1	476	476	1	482	482	483
A0A3Q7HBJ5_1_NA_C_28	DQ335781_NA_C_28	14M3D102M1D354M	5	474	476	6	479	479	474
A0A3Q7HBJ5_1_NA_C_28	JQ958967_NA_C_28	19M2D10M2D445M	1	474	476	1	478	478	478
A0A3Q7HBJ5_1_NA_C_28	BAW34647_1_NA_C_28_C_22	20M4D7M4D91M2I142M1D212M	1	474	476	1	481	481	483
A0A3Q7HBJ5_1_NA_C_28	QIH97367_1_NA_C_28	16M2D99M1D359M	1	474	476	1	477	477	477
A0A3Q7HBJ5_1_NA_C_28	KU878864_NA_C_28	24M2D443M	5	471	476	9	477	480	469
A0A3Q7HBJ5_1_NA_C_28	BAP59952_1_NA_C_28	16M3D6M3D448M	5	474	476	6	481	481	476
A0A3Q7HBJ5_1_NA_C_28	AFO63032_1_NA_C_28	18M3D7M3D3M1D446M	1	474	476	1	481	481	481
A0A3Q7HBJ5_1_NA_C_28	MG708187_NA_C_28	22M6D452M	1	474	476	1	480	480	480
A0A3Q7HBJ5_1_NA_C_28	AHL46848_1_NA_C_28	11M3D12M3D96M1D355M	1	474	476	1	481	481	481
A0A3Q7HBJ5_1_NA_C_28	AOG74836_1_NA_C_28	15M2D7M1D7M4D90M1I41M1I312M	1	474	476	1	479	479	481
A0A3Q7HBJ5_1_NA_C_28	AOG74847_1_NA_C_28	24M2D443M	5	471	476	9	477	480	469
A0A3Q7HBJ5_1_NA_C_28	KX343075_NA_C_28	12M2D11M2D44M1D405M	1	472	476	1	477	483	477
A0A3Q7HBJ5_1_NA_C_28	ANY30854_1_NA_C_28	10M1I11M5D47M1D403M	1	472	476	1	477	483	478
A0A3Q7HBJ5_1_NA_C_28	ANY30853_1_NA_C_28	12M2D11M2D44M1D405M	1	472	476	1	477	483	477
A0A3Q7HBJ5_1_NA_C_28	AHF22083_1_Positive_Control_C_3	25M2D91M6I134M2I213M	4	474	476	10	474	474	473
A0A3Q7HBJ5_1_NA_C_28	KF309251_NA_C_3	18M3D8M2D91M6I134M2I213M	3	474	476	6	474	474	477
A0A3Q7HBJ5_1_NA_C_28	OQ107248_NA_C_16	21M4D450M	5	475	476	27	501	501	475
A0A3Q7HBJ5_1_NA_C_28	NM_123002_NA_C_28	25M4D44M3D191M4I187M1D20M	1	471	476	1	475	477	479
A0A3Q7HBJ5_1_NA_C_28	Q9LVY7_1_NA_C_28	25M4D42M2D2M1D191M4I187M1D20M	1	471	476	1	475	477	479
A0A3Q7HBJ5_1_NA_C_28	LC106013_NA_C_16_C_22_C_28	18M6D238M3I4M1I183M1D20M	5	471	476	2	471	473	474
A0A3Q7HBJ5_1_NA_C_28	BAU61505_1_NA_C_16_C_22_C_28	18M6D238M3I4M1I183M1D20M	5	471	476	2	471	473	474
A0A3Q7HBJ5_1_NA_C_28	ALR73781_1_NA_Unkown	9M2D12M4D41M2D3M1D44M2D5M3I143M4I183M1D21M	5	472	476	2	474	475	480
A0A3Q7HBJ5_1_NA_C_28	ALR73782_1_NA_C_28	9M2D12M4D41M2D3M1D44M2D5M3I143M4I183M1D21M	5	472	476	2	474	475	480
A0A3Q7HBJ5_1_NA_C_28	AOG74849_1_NA_cycloartane	20M3D7M3D217M1I5M1D223M	2	474	476	7	485	485	480
A0A3Q7HBJ5_1_NA_C_28	AXU93523_1_NA_C_3	20M3D8M2D91M1I4M4I131M2I195M1D18M	1	474	476	1	473	473	480
A0A3Q7HBJ5_1_NA_C_28	KU878866_NA_unknown_regioselectivity	13M3D5M1D4M4D6M3D217M1I5M1D223M	1	474	476	1	485	485	486
A0A3Q7HBJ5_1_NA_C_28	APG38190_1_NA_C_16	5M1D23M6D86M3D10M3I133M3I4M1I203M2I3M	1	476	476	19	495	495	486
A0A3Q7HBJ5_1_NA_C_28	KY047600_NA_C_16	5M1D23M6D87M3D9M3I133M3I4M1I203M2I3M	1	476	476	19	495	495	486
A0A3Q7HBJ5_1_NA_C_28	AFO63031_NA_C_6	3M1D109M2I133M4I220M	1	471	476	1	466	469	472
A0A3Q7HBJ5_1_NA_C_28	AFO63031_1_NA_C_6	3M1D109M2I133M4I220M	1	471	476	1	466	469	472
A0A3Q7HBJ5_1_NA_C_28	JX036031_NA_C_6	3M1D109M2I128M4I225M	1	471	476	1	466	469	472
